Проверяемое семейство,Категория,Название гена,Белок,Координаты гена
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_14849,CAL2042020.1,OZ038409.1:23125594-23133877(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_16798,CAL2043964.1,OZ038410.1:5632953-5635217(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_17016,CAL2044182.1,OZ038410.1:6318481-6320571(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_17017,CAL2044183.1,OZ038410.1:6322992-6325577(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_18179,CAL2045343.1,OZ038410.1:10739581-10745633(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_20642,CAL2047795.1,OZ038410.1:20469081-20471144(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_21779,CAL2048900.1,OZ038411.1:5740179-5742894(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_21870,CAL2048990.1,OZ038411.1:6295945-6304709(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_22084,CAL2049203.1,OZ038411.1:7534836-7536912(-)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_23677,CAL2050791.1,OZ038411.1:16241975-16248072(+)
PF00628 PHD - PHD-палец - чтение метилирования,Histone (read),CAEBRE_25075,CAL2052176.1,OZ038411.1:24053005-24053710(+)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_00971,CAL2028239.1,OZ038406.1:3925092-3931451(-)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_02205,CAL2029473.1,OZ038406.1:8946635-8950232(-)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_02579,CAL2029847.1,OZ038406.1:10491158-10496398(+)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_03013,CAL2030280.1,OZ038406.1:12902918-12916144(-)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_03617,CAL2030882.1,OZ038407.1:78032-84858(-)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_03915,CAL2031177.1,OZ038407.1:1766017-1777369(-)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_06088,CAL2033339.1,OZ038407.1:11288190-11291287(-)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_09631,CAL2036870.1,OZ038408.1:8634870-8641927(+)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_10808,CAL2038045.1,OZ038408.1:13691817-13707519(-)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_13207,CAL2040411.1,OZ038409.1:11893032-11897795(+)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_13367,CAL2040571.1,OZ038409.1:12585508-12590202(+)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_14146,CAL2041348.1,OZ038409.1:15813589-15818906(-)
PF00439 Bromodomain - Бромодомен - чтение ацетил-лизина,Histone acetyl (read),CAEBRE_14556,CAL2041736.1,OZ038409.1:20154827-20169196(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_02205,CAL2029473.1,OZ038406.1:8946635-8950232(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_02980,CAL2030247.1,OZ038406.1:12594727-12596299(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_03298,CAL2030564.1,OZ038406.1:14651334-14657119(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_07973,CAL2035218.1,OZ038408.1:647781-648487(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_08764,CAL2036006.1,OZ038408.1:4552332-4553744(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_08765,CAL2036007.1,OZ038408.1:4554561-4555406(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_09006,CAL2036246.1,OZ038408.1:5977515-5978294(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_12748,CAL2039952.1,OZ038409.1:10102806-10104007(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_13829,CAL2041033.1,OZ038409.1:14410253-14413775(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_15222,CAL2042393.1,OZ038410.1:213502-215055(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_15304,CAL2042475.1,OZ038410.1:472575-473422(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_16475,CAL2043644.1,OZ038410.1:4474491-4475654(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_16476,CAL2043645.1,OZ038410.1:4476371-4477545(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_16478,CAL2043647.1,OZ038410.1:4478857-4480055(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_17144,CAL2044310.1,OZ038410.1:6803608-6805067(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_17533,CAL2044699.1,OZ038410.1:8185800-8187717(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_17615,CAL2044781.1,OZ038410.1:8548937-8549652(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_17778,CAL2044942.1,OZ038410.1:9217771-9220493(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_17973,CAL2045137.1,OZ038410.1:9926548-9931425(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_18227,CAL2045391.1,OZ038410.1:10938920-10939766(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_18250,CAL2045414.1,OZ038410.1:11088006-11093975(+)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_18487,CAL2045651.1,OZ038410.1:12032718-12033983(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_19169,CAL2046330.1,OZ038410.1:14541807-14543737(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_19360,CAL2046521.1,OZ038410.1:15105661-15108835(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_20398,CAL2047551.1,OZ038410.1:19508510-19510735(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_22065,CAL2049184.1,OZ038411.1:7447861-7449229(-)
PF00583 Acetyltransf_1 - GNAT ацетилтрансферазы,Histone acetylation (write),CAEBRE_22608,CAL2049724.1,OZ038411.1:10368090-10370047(-)
PF01853 MOZ_SAS - MYST гистон-ацетилтрансферазы,Histone acetylation (write),CAEBRE_00136,CAL2027406.1,OZ038406.1:454887-458118(-)
PF01853 MOZ_SAS - MYST гистон-ацетилтрансферазы,Histone acetylation (write),CAEBRE_02372,CAL2029640.1,OZ038406.1:9592339-9594989(+)
PF01853 MOZ_SAS - MYST гистон-ацетилтрансферазы,Histone acetylation (write),CAEBRE_04684,CAL2031939.1,OZ038407.1:5437181-5446103(+)
PF01853 MOZ_SAS - MYST гистон-ацетилтрансферазы,Histone acetylation (write),CAEBRE_08659,CAL2035903.1,OZ038408.1:3765759-3769493(+)
PF01853 MOZ_SAS - MYST гистон-ацетилтрансферазы,Histone acetylation (write),CAEBRE_18390,CAL2045554.1,OZ038410.1:11665797-11667423(-)
PF01853 MOZ_SAS - MYST гистон-ацетилтрансферазы,Histone acetylation (write),CAEBRE_18650,CAL2045814.1,OZ038410.1:12715866-12730969(-)
PF00850 Hist_deacetyl - Гистон-деацетилазы HDAC I/II,Histone deacetylation (erase),CAEBRE_00499,CAL2027769.1,OZ038406.1:1821271-1825017(+)
PF00850 Hist_deacetyl - Гистон-деацетилазы HDAC I/II,Histone deacetylation (erase),CAEBRE_04081,CAL2031341.1,OZ038407.1:2749559-2754922(+)
PF00850 Hist_deacetyl - Гистон-деацетилазы HDAC I/II,Histone deacetylation (erase),CAEBRE_05622,CAL2032875.1,OZ038407.1:9242501-9244305(-)
PF00850 Hist_deacetyl - Гистон-деацетилазы HDAC I/II,Histone deacetylation (erase),CAEBRE_06413,CAL2033664.1,OZ038407.1:12491218-12498308(-)
PF00850 Hist_deacetyl - Гистон-деацетилазы HDAC I/II,Histone deacetylation (erase),CAEBRE_12685,CAL2039889.1,OZ038409.1:9704323-9710282(-)
PF00850 Hist_deacetyl - Гистон-деацетилазы HDAC I/II,Histone deacetylation (erase),CAEBRE_17925,CAL2045089.1,OZ038410.1:9771474-9773307(+)
PF00850 Hist_deacetyl - Гистон-деацетилазы HDAC I/II,Histone deacetylation (erase),CAEBRE_18822,CAL2045985.1,OZ038410.1:13350778-13352776(+)
PF00850 Hist_deacetyl - Гистон-деацетилазы HDAC I/II,Histone deacetylation (erase),CAEBRE_21532,CAL2048656.1,OZ038411.1:4449164-4452006(-)
PF00850 Hist_deacetyl - Гистон-деацетилазы HDAC I/II,Histone deacetylation (erase),CAEBRE_21836,CAL2048956.1,OZ038411.1:6051028-6064265(-)
PF02146 SIR2 - Сиртуины - HDAC класс III,Histone deacetylation (erase),CAEBRE_02512,CAL2029780.1,OZ038406.1:10163555-10164727(-)
PF02146 SIR2 - Сиртуины - HDAC класс III,Histone deacetylation (erase),CAEBRE_14090,CAL2041292.1,OZ038409.1:15599560-15603250(+)
PF02146 SIR2 - Сиртуины - HDAC класс III,Histone deacetylation (erase),CAEBRE_24579,CAL2051688.1,OZ038411.1:21173334-21175082(+)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_06027,CAL2033278.1,OZ038407.1:11083857-11086509(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_06385,CAL2033636.1,OZ038407.1:12398627-12403076(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_07045,CAL2034290.1,OZ038407.1:15066744-15068886(+)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_08058,CAL2035303.1,OZ038408.1:1034734-1037594(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_08193,CAL2035438.1,OZ038408.1:1530744-1533703(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_08195,CAL2035440.1,OZ038408.1:1543503-1556588(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_08861,CAL2036102.1,OZ038408.1:5154968-5166200(+)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_09168,CAL2036408.1,OZ038408.1:6691146-6692468(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_10247,CAL2037485.1,OZ038408.1:10995856-10998416(+)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_10385,CAL2037622.1,OZ038408.1:11632431-11633770(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_12228,CAL2039447.1,OZ038409.1:6216617-6217386(+)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_12667,CAL2039871.1,OZ038409.1:9573100-9576371(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_13158,CAL2040362.1,OZ038409.1:11745006-11750540(+)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_13713,CAL2040917.1,OZ038409.1:13923711-13926881(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_13718,CAL2040922.1,OZ038409.1:13931172-13932655(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_21017,CAL2048155.1,OZ038411.1:1685864-1697151(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_21276,CAL2048405.1,OZ038411.1:3051779-3053546(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_21562,CAL2048683.1,OZ038411.1:4604113-4604613(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_22126,CAL2049245.1,OZ038411.1:7757609-7760029(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_24165,CAL2051277.1,OZ038411.1:18905813-18915354(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_24166,CAL2051278.1,OZ038411.1:18922841-18932155(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_24604,CAL2051713.1,OZ038411.1:21318537-21326210(+)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_24605,CAL2051714.1,OZ038411.1:21328361-21332292(+)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_24606,CAL2051715.1,OZ038411.1:21335903-21342347(+)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_24665,CAL2051773.1,OZ038411.1:21639640-21646033(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_24668,CAL2051776.1,OZ038411.1:21665113-21665656(-)
PF02373 JmjC - JmjC гистон-деметилазы (KDM),Histone demethylation (erase),CAEBRE_24808,CAL2051914.1,OZ038411.1:22411073-22417019(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_03238,CAL2030504.1,OZ038406.1:14421657-14425144(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_03239,CAL2030505.1,OZ038406.1:14425427-14425798(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_03241,CAL2030507.1,OZ038406.1:14427839-14428456(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_03271,CAL2030537.1,OZ038406.1:14511280-14511883(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_05318,CAL2032571.1,OZ038407.1:7935707-7938378(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_06496,CAL2033747.1,OZ038407.1:12873438-12874646(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_07695,CAL2034940.1,OZ038407.1:17393190-17394355(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_07766,CAL2035011.1,OZ038407.1:17654625-17658321(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_08367,CAL2035612.1,OZ038408.1:2364301-2365004(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_08405,CAL2035650.1,OZ038408.1:2637611-2638615(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_08428,CAL2035673.1,OZ038408.1:2762045-2762572(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_09607,CAL2036846.1,OZ038408.1:8534670-8535830(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_10425,CAL2037662.1,OZ038408.1:11833487-11834264(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_10621,CAL2037858.1,OZ038408.1:12742970-12743699(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_10718,CAL2037955.1,OZ038408.1:13242256-13242918(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_12935,CAL2040139.1,OZ038409.1:10891879-10892536(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_12936,CAL2040140.1,OZ038409.1:10892594-10893115(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_12939,CAL2040143.1,OZ038409.1:10895392-10896616(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_13065,CAL2040269.1,OZ038409.1:11374887-11378396(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_13068,CAL2040272.1,OZ038409.1:11380670-11381191(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_13069,CAL2040273.1,OZ038409.1:11381249-11381906(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_13093,CAL2040297.1,OZ038409.1:11502645-11503471(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_13094,CAL2040298.1,OZ038409.1:11503703-11505008(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_13098,CAL2040302.1,OZ038409.1:11508993-11509584(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_13746,CAL2040950.1,OZ038409.1:14051128-14051946(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_15355,CAL2042526.1,OZ038410.1:663787-664224(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_15356,CAL2042527.1,OZ038410.1:664394-664910(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_15358,CAL2042529.1,OZ038410.1:666697-668132(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_15359,CAL2042530.1,OZ038410.1:668679-669389(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_15360,CAL2042531.1,OZ038410.1:669691-670159(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_15361,CAL2042532.1,OZ038410.1:671193-671695(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_15363,CAL2042534.1,OZ038410.1:672923-673438(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_15364,CAL2042535.1,OZ038410.1:673607-673975(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_15365,CAL2042536.1,OZ038410.1:674520-675001(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_15608,CAL2042779.1,OZ038410.1:1479790-1480892(-)
